Timestamp,How did you enjoy the overall event?,How would you rate the mentors?,How would you rate the materials?,What did you like most about the event?,What annoyed you? What should we improve?,Can we publish/share your anonymous feedback on GitHub?,
01/10/2014 22:55:13,8,9,8,"no overhead, just what you need to work (wifi, power, water :)",,Yes,
02/10/2014 09:19:19,8,8,9,Really liked the focus on pair programming and TDD. It was a nice social event that encouraged everyone to communicate,Nothing,Yes,Option 1
